1011.txt 977 0 0 1547.67 0 1547.67 1547.67 not found
1012.txt	905	0	0	253.53		0					253.53		253.53		253.53
1013.txt	978	0	0	6374.25		0					6374.25		6374.25		6374.25
1014.txt	960	0	0	1149.09		0					1149.09		1149.09		1149.09
1015.txt	964	0	0	18.05		0					18.05		18.05		18.05
1016.txt	974	1	1	300		0.102669405					No	-1		0		7200
1017.txt	942	0	0	295.28		0					295.28		295.28		295.28
1018.txt	990	0	0	1840.55		0					1840.55		1840.55		1840.55
1019.txt	937	0	0	1662.3		0					1662.3		1662.3		1662.3
1020.txt	986	1	1	300		0.101419878					No	-1		0		7200
1021.txt	258	0	0	127.17		0					127.17		127.17		127.17
1022.txt	267	1	1	300		0.374531835					No	-1		0		7200
1023.txt	253	1	1	300		0.395256917					No	-1		0		7200
1024.txt	266	0	0	595.28		0					595.28		595.28		595.28
1025.txt	276	1	1	300		0.362318841					No	-1		0		7200
1026.txt	267	0	0	2495.17		0					2495.17		2495.17		2495.17
1027.txt	279	1	1	300		0.358422939					No	-1		0		7200
1028.txt	272	0	0	77.2		0					77.2		77.2		77.2
1029.txt	267	1	1	300		0.374531835					No	-1		0		7200
1030.txt	260	0	0	1028.27		0					1028.27		1028.27		1028.27
1031.txt	129	1	1	300		0.775193798					No	-1		0		7200
1032.txt	137	1	1	300		0.729927007					No	-1		0		7200
1033.txt	123	0	0	678.8		0					678.8		678.8		678.8
1034.txt	126	0	0	2894		0					2894		2894		2894
1035.txt	128	1	1	300		0.78125					No	-1		0		7200
1036.txt	125	0	0	538.53		0					538.53		538.53		538.53
1037.txt	128	0	0	66.34		0					66.34		66.34		66.34
1038.txt	126	0	0	4969.34		0					4969.34		4969.34		4969.34
1039.txt	128	0	0	3109.19		0					3109.19		3109.19		3109.19
1040.txt	127	0	0	100.09		0					100.09		100.09		100.09
1041.txt	74	0	0	2443.94		0					2443.94		2443.94		2443.94
1042.txt	73	0	0	1828.64		0					1828.64		1828.64		1828.64
1043.txt	77	0	0	603.69		0					603.69		603.69		603.69
1044.txt	75	0	0	3375.47		0					3375.47		3375.47		3375.47
1045.txt	77	0	0	130.86		0					130.86		130.86		130.86
1046.txt	75	0	0	265.11		0					265.11		265.11		265.11
1047.txt	77	1	1	300		1.298701299					No	-1		0		7200
1048.txt	75	0	0	1839.72		0					1839.72		1839.72		1839.72
1049.txt	76	0	0	428.06		0					428.06		428.06		428.06
1050.txt	74	0	0	7100.34		0					7100.34		7100.34		7100.34
1051.txt	51	0	0	602.16		0					602.16		602.16		602.16
1052.txt	49	0	0	2833.36		0					2833.36		2833.36		2833.36
1053.txt	51	0	0	986.56		0					986.56		986.56		986.56
1054.txt	51	0	0	4656.75		0					4656.75		4656.75		4656.75
1055.txt	51	0	0	328.14		0					328.14		328.14		328.14
1056.txt	51	1	1	300		1.960784314					No	-1		0		7200
1057.txt	50	0	0	3050.95		0					3050.95		3050.95		3050.95
1058.txt	53	1	1	300		1.886792453					No	-1		0		7200
1059.txt	54	0	0	1499.34		0					1499.34		1499.34		1499.34
1060.txt	52	0	0	194.44		0					194.44		194.44		194.44
111.txt	117	0	0	5.89		0					5.89		5.89		5.89
112.txt	87	0	0	0.41		0					0.41		0.41		0.41
113.txt	98	0	0	7.16		0					7.16		7.16		7.16
114.txt	115	0	0	7.42		0					7.42		7.42		7.42
115.txt	104	0	0	8.84		0					8.84		8.84		8.84
116.txt	101	0	0	3.44		0					3.44		3.44		3.44
117.txt	114	0	0	10.7		0					10.7		10.7		10.7
118.txt	103	0	0	3.11		0					3.11		3.11		3.11
119.txt	114	0	0	1.84		0					1.84		1.84		1.84
120.txt	98	0	0	4.56		0					4.56		4.56		4.56
121.txt	30	0	0	4.58		0					4.58		4.58		4.58
122.txt	36	0	0	6.52		0					6.52		6.52		6.52
123.txt	32	0	0	4.61		0					4.61		4.61		4.61
124.txt	33	0	0	6.3		0					6.3		6.3		6.3
125.txt	31	0	0	3.5		0					3.5		3.5		3.5
126.txt	29	0	0	4.55		0					4.55		4.55		4.55
127.txt	35	0	0	11.58		0					11.58		11.58		11.58
128.txt	30	0	0	1.58		0					1.58		1.58		1.58
129.txt	30	0	0	2.2		0					2.2		2.2		2.2
130.txt	29	0	0	0.59		0					0.59		0.59		0.59
131.txt	19	0	0	0.34		0					0.34		0.34		0.34
132.txt	23	0	0	0.41		0					0.41		0.41		0.41
